Seed,Scheme,Approach,k_best,base_estimator,Missing_Percent,Accuracy,Balanced_Acc,F1,ROC_AUC
0,None,Oracle,,,0.0,0.8026315789473685,0.7161334240980258,0.8706896551724138,0.8266394372589062
0,MCAR_0.2,naive,,,20.31,0.8289473684210527,0.7254368050828228,0.8907563025210085,0.8538688450192875
0,MCAR_0.2,self_training,1.0,SVC,20.31,0.8157894736842105,0.7165872475606989,0.8813559322033898,0.8173360562741094
0,MCAR_0.2,self_training,1.0,LogisticRegression,20.31,0.8223684210526315,0.7042205582028591,0.8879668049792531,0.865668255048786
0,MCAR_0.2,self_training,1.0,RandomForestClassifier,20.31,0.8355263157894737,0.7298615838438847,0.895397489539749,0.8747447243022464
0,MCAR_0.2,self_training,1.0,XGBClassifier,20.31,0.8223684210526315,0.7294077603812117,0.8851063829787233,0.8500113455865669
0,MCAR_0.2,label_propagation,,,20.31,0.7763157894736842,0.6816428409348764,0.853448275862069,0.8248241434082142
0,MCAR_0.5,naive,,,49.45,0.7960526315789473,0.6865214431586113,0.869198312236287,0.8454731109598367
0,MCAR_0.5,self_training,1.0,SVC,49.45,0.756578947368421,0.7271386430678466,0.827906976744186,0.8173360562741094
0,MCAR_0.5,self_training,1.0,LogisticRegression,49.45,0.8223684210526315,0.7210120263217608,0.8860759493670886,0.8252779668708872
0,MCAR_0.5,self_training,1.0,RandomForestClassifier,49.45,0.756578947368421,0.701951440889494,0.832579185520362,0.7835262083049693
0,MCAR_0.5,self_training,1.0,XGBClassifier,49.45,0.743421052631579,0.6931018833673701,0.821917808219178,0.7817109144542773
0,MCAR_0.5,label_propagation,,,49.45,0.7302631578947368,0.6338779214885409,0.8209606986899564,0.6950306330837304
0,MCAR_0.8,naive,,,82.34,0.7763157894736842,0.6228727025187202,0.8617886178861789,0.7009303380984797
0,MCAR_0.8,self_training,1.0,SVC,82.34,0.75,0.5128205128205128,0.8560606060606061,0.5339233038348083
0,MCAR_0.8,self_training,1.0,LogisticRegression,82.34,0.7302631578947368,0.6926480599046971,0.8093023255813954,0.7549353301565691
0,MCAR_0.8,self_training,1.0,RandomForestClassifier,82.34,0.6644736842105263,0.6316088041751758,0.7559808612440191,0.6991150442477876
0,MCAR_0.8,self_training,1.0,XGBClassifier,82.34,0.756578947368421,0.6767642387111413,0.8370044052863436,0.7640117994100295
0,MCAR_0.8,label_propagation,,,82.34,0.5394736842105263,0.6398910823689585,0.5833333333333334,0.7261175402768323
0,MAR1,naive,,,51.21,0.75,0.6387565237122759,0.8376068376068376,0.7928295892897663
0,MAR1,self_training,1.0,SVC,51.21,0.7302631578947368,0.701043793964148,0.8075117370892019,0.7803494440662583
0,MAR1,self_training,1.0,LogisticRegression,51.21,0.743421052631579,0.6679146811890174,0.8266666666666667,0.7862491490810076
0,MAR1,self_training,1.0,RandomForestClassifier,51.21,0.7631578947368421,0.6895847515316542,0.8407079646017699,0.8273201724529158
0,MAR1,self_training,1.0,XGBClassifier,51.21,0.7828947368421053,0.7196505559337418,0.8533333333333334,0.8007714998865442
0,MAR1,label_propagation,,,51.21,0.743421052631579,0.6259360108917631,0.8340425531914893,0.7029725436805083
0,MAR2,naive,,,50.99,0.7960526315789473,0.6697299750397095,0.8713692946058091,0.7422282732017245
0,MAR2,self_training,1.0,SVC,50.99,0.7828947368421053,0.7196505559337418,0.8533333333333334,0.7803494440662583
0,MAR2,self_training,1.0,LogisticRegression,50.99,0.7828947368421053,0.6776718856364874,0.8595744680851064,0.7971409121851599
0,MAR2,self_training,1.0,RandomForestClassifier,50.99,0.7960526315789473,0.7117086453369639,0.8658008658008658,0.809621057408668
0,MAR2,self_training,1.0,XGBClassifier,50.99,0.7763157894736842,0.6900385749943272,0.8521739130434782,0.7454050374404356
0,MAR2,label_propagation,,,50.99,0.6907894736842105,0.5821420467438166,0.7947598253275109,0.6528250510551395
0,MNAR,naive,,,51.21,0.7105263157894737,0.6373950533242568,0.8018018018018018,0.7506240072611754
0,MNAR,self_training,1.0,SVC,51.21,0.7105263157894737,0.696165191740413,0.7884615384615384,0.7231676877694577
0,MNAR,self_training,1.0,LogisticRegression,51.21,0.7302631578947368,0.7094395280235988,0.8056872037914692,0.7714998865441344
0,MNAR,self_training,1.0,RandomForestClassifier,51.21,0.6973684210526315,0.6537326979804856,0.7850467289719626,0.7324710687542546
0,MNAR,self_training,1.0,XGBClassifier,51.21,0.6710526315789473,0.619242114817336,0.7663551401869159,0.728159745858861
0,MNAR,label_propagation,,,51.21,0.6381578947368421,0.6474926253687315,0.7208121827411168,0.7025187202178353
1,None,Oracle,,,0.0,0.8486842105263158,0.7471068754254595,0.9037656903765691,0.8842750170183798
1,MCAR_0.2,naive,,,17.22,0.7894736842105263,0.7660540049920581,0.8518518518518519,0.8348082595870205
1,MCAR_0.2,self_training,1.0,SVC,17.22,0.8421052631578947,0.7510778307238484,0.8983050847457628,0.8804175175856592
