Seed,Scheme,Approach,w1,b1,w2,b2,wx,wy,by,k_best,base_estimator,Missing_Percent,Accuracy,Balanced_Acc,F1,ROC_AUC,Imputation_score
0,None,Oracle,,,,,,,,,,0.0,0.7619047619047619,0.7636363636363637,0.7619047619047619,0.8545454545454546,[]
0,MCAR_0.2,naive,,,,,,,,,,21.67,0.6666666666666666,0.6772727272727272,0.5882352941176471,0.7727272727272727,[]
0,MCAR_0.2,self_training,,,,,,,,1.0,SVC,21.67,0.6190476190476191,0.6318181818181818,0.5,0.7636363636363637,"[0.5, 0.5, 0.5, 0.43333333333333335, 0.4583333333333333, 0.4375]"
0,MCAR_0.2,self_training,,,,,,,,1.0,LogisticRegression,21.67,0.8571428571428571,0.8590909090909091,0.8571428571428571,0.8818181818181818,"[1.0, 1.0, 0.875, 0.8333333333333333, 0.5833333333333333, 0.625]"
0,MCAR_0.2,self_training,,,,,,,,1.0,RandomForestClassifier,21.67,0.7619047619047619,0.7636363636363637,0.7619047619047619,0.8545454545454546,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
0,MCAR_0.2,self_training,,,,,,,,1.0,XGBClassifier,21.67,0.7619047619047619,0.7636363636363637,0.7619047619047619,0.8545454545454546,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
0,MCAR_0.2,label_propagation,,,,,,,,,,21.67,0.6666666666666666,0.6772727272727272,0.5882352941176471,0.9454545454545454,"[0.5972222222222222, 0.5972222222222222, 0.5972222222222222, 0.5972222222222222]"
0,MCAR_0.5,naive,,,,,,,,,,46.67,0.8571428571428571,0.8636363636363636,0.8421052631578947,0.9181818181818182,[]
0,MCAR_0.5,self_training,,,,,,,,1.0,SVC,46.67,0.5238095238095238,0.5272727272727272,0.5,0.6727272727272726,"[0.0, 0.0, 0.125, 0.3666666666666667, 0.4, 0.3333333333333333, 0.35416666666666663, 0.3666666666666667, 0.3246753246753247, 0.3484848484848485, 0.40909090909090906, 0.4166666666666667, 0.42307692307692313, 0.42857142857142855]"
0,MCAR_0.5,self_training,,,,,,,,1.0,LogisticRegression,46.67,0.7619047619047619,0.7727272727272727,0.7058823529411765,0.990909090909091,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9444444444444444, 0.9090909090909092, 0.9166666666666667, 0.829059829059829, 0.7937062937062938, 0.8095238095238095, 0.8214285714285714]"
0,MCAR_0.5,self_training,,,,,,,,1.0,RandomForestClassifier,46.67,0.7619047619047619,0.7636363636363637,0.7619047619047619,0.8545454545454546,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
0,MCAR_0.5,self_training,,,,,,,,1.0,XGBClassifier,46.67,0.47619047619047616,0.48636363636363633,0.35294117647058826,0.5272727272727273,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9615384615384616, 0.9642857142857143, 0.8928571428571428]"
