Seed,Scheme,Approach,Missing_Percent,Accuracy,Balanced_Acc,F1,ROC_AUC
17,MCAR_0.5,pseudo_labels,50.86,0.9349112426035503,0.49894736842105264,0.0,0.8440789473684212
17,MCAR_0.5,iterative_pseudo_labels,50.86,0.9349112426035503,0.49894736842105264,0.0,0.8440789473684212
17,MCAR_0.8,naive,80.86,0.9191321499013807,0.5196710526315789,0.08888888888888889,0.8211184210526317
17,MCAR_0.8,pseudo_labels,80.86,0.9368836291913215,0.5,0.0,0.7854605263157894
17,MCAR_0.8,iterative_pseudo_labels,80.86,0.9368836291913215,0.5,0.0,0.7854605263157894
17,MAR1,naive,26.05,0.9388560157790927,0.559342105263158,0.20512820512820512,0.85375
17,MAR1,pseudo_labels,26.05,0.9388560157790927,0.515625,0.06060606060606061,0.8474999999999999
17,MAR1,iterative_pseudo_labels,26.05,0.9388560157790927,0.515625,0.06060606060606061,0.8474999999999999
17,MAR2,naive,26.91,0.9329388560157791,0.4978947368421053,0.0,0.8536184210526316
17,MAR2,pseudo_labels,26.91,0.9368836291913215,0.5,0.0,0.8527631578947369
17,MAR2,iterative_pseudo_labels,26.91,0.9368836291913215,0.5,0.0,0.8527631578947369
17,MNAR,naive,26.64,0.9329388560157791,0.4978947368421053,0.0,0.8529605263157894
17,MNAR,pseudo_labels,26.64,0.9368836291913215,0.5,0.0,0.8578947368421053
17,MNAR,iterative_pseudo_labels,26.64,0.9368836291913215,0.5,0.0,0.8578947368421053
18,None,Oracle,0.0,0.9368836291913215,0.5291447368421053,0.1111111111111111,0.844078947368421
18,MCAR_0.2,naive,17.7,0.9329388560157791,0.5416118421052631,0.15,0.8518421052631578
18,MCAR_0.2,pseudo_labels,17.7,0.9349112426035503,0.528092105263158,0.10810810810810811,0.8494078947368421
18,MCAR_0.2,iterative_pseudo_labels,17.7,0.9349112426035503,0.528092105263158,0.10810810810810811,0.8494078947368421
18,MCAR_0.5,naive,52.04,0.9349112426035503,0.528092105263158,0.10810810810810811,0.8367763157894736
18,MCAR_0.5,pseudo_labels,52.04,0.9368836291913215,0.5145723684210526,0.058823529411764705,0.8374999999999999
18,MCAR_0.5,iterative_pseudo_labels,52.04,0.9368836291913215,0.5145723684210526,0.058823529411764705,0.8374999999999999
18,MCAR_0.8,naive,80.46,0.9211045364891519,0.5498684210526316,0.16666666666666666,0.8141447368421053
18,MCAR_0.8,pseudo_labels,80.46,0.9368836291913215,0.5,0.0,0.8066447368421052
18,MCAR_0.8,iterative_pseudo_labels,80.46,0.9368836291913215,0.5,0.0,0.8066447368421052
18,MAR1,naive,24.14,0.9349112426035503,0.5426644736842106,0.15384615384615385,0.8424342105263157
18,MAR1,pseudo_labels,24.14,0.9368836291913215,0.5291447368421053,0.1111111111111111,0.8436184210526315
18,MAR1,iterative_pseudo_labels,24.14,0.9368836291913215,0.5291447368421053,0.1111111111111111,0.8436184210526315
18,MAR2,naive,24.93,0.9309664694280079,0.5405592105263157,0.14634146341463414,0.8472368421052632
18,MAR2,pseudo_labels,24.93,0.9349112426035503,0.528092105263158,0.10810810810810811,0.8505921052631579
18,MAR2,iterative_pseudo_labels,24.93,0.9349112426035503,0.528092105263158,0.10810810810810811,0.8505921052631579
18,MNAR,naive,24.87,0.9388560157790927,0.5447697368421053,0.16216216216216217,0.840328947368421
18,MNAR,pseudo_labels,24.87,0.9368836291913215,0.5145723684210526,0.058823529411764705,0.8307894736842105
18,MNAR,iterative_pseudo_labels,24.87,0.9368836291913215,0.5145723684210526,0.058823529411764705,0.8307894736842105
