Seed,Scheme,Approach,k_best,base_estimator,Missing_Percent,Accuracy,Balanced_Acc,F1,ROC_AUC
0,None,Oracle,,,0.0,0.8285714285714286,0.8300653594771241,0.8235294117647058,0.8398692810457516
0,MCAR_0.2,naive,,,23.08,0.8,0.8022875816993464,0.7878787878787878,0.8496732026143791
0,MCAR_0.2,self_training,1.0,SVC,23.08,0.8,0.8022875816993464,0.7878787878787878,0.8235294117647058
0,MCAR_0.2,self_training,1.0,LogisticRegression,23.08,0.7428571428571429,0.7450980392156863,0.7272727272727273,0.826797385620915
0,MCAR_0.2,self_training,1.0,RandomForestClassifier,23.08,0.8285714285714286,0.8300653594771241,0.8235294117647058,0.8594771241830065
0,MCAR_0.2,self_training,1.0,XGBClassifier,23.08,0.7714285714285715,0.7761437908496732,0.7333333333333333,0.8496732026143791
0,MCAR_0.2,label_propagation,,,23.08,0.7714285714285715,0.7745098039215685,0.75,0.803921568627451
0,MCAR_0.5,naive,,,52.88,0.8571428571428571,0.8562091503267973,0.8648648648648649,0.8578431372549019
0,MCAR_0.5,self_training,1.0,SVC,52.88,0.8571428571428571,0.8594771241830066,0.8484848484848485,0.8839869281045751
0,MCAR_0.5,self_training,1.0,LogisticRegression,52.88,0.8285714285714286,0.8316993464052287,0.8125,0.9248366013071895
0,MCAR_0.5,self_training,1.0,RandomForestClassifier,52.88,0.8285714285714286,0.8300653594771241,0.8235294117647058,0.8970588235294117
0,MCAR_0.5,self_training,1.0,XGBClassifier,52.88,0.8285714285714286,0.8300653594771241,0.8235294117647058,0.8464052287581699
0,MCAR_0.5,label_propagation,,,52.88,0.8857142857142857,0.8872549019607843,0.8823529411764706,0.9150326797385621
0,MCAR_0.8,naive,,,75.96,0.7428571428571429,0.7434640522875817,0.7428571428571429,0.8333333333333334
0,MCAR_0.8,self_training,1.0,SVC,75.96,0.8571428571428571,0.857843137254902,0.8571428571428571,0.9019607843137255
0,MCAR_0.8,self_training,1.0,LogisticRegression,75.96,0.8857142857142857,0.8856209150326797,0.8888888888888888,0.9411764705882353
0,MCAR_0.8,self_training,1.0,RandomForestClassifier,75.96,0.7714285714285715,0.772875816993464,0.7647058823529411,0.803921568627451
0,MCAR_0.8,self_training,1.0,XGBClassifier,75.96,0.5142857142857142,0.5098039215686274,0.5853658536585366,0.5098039215686274
0,MCAR_0.8,label_propagation,,,75.96,0.6857142857142857,0.6928104575163399,0.5925925925925926,0.7483660130718954
0,MAR1,naive,,,50.0,0.8285714285714286,0.8316993464052287,0.8125,0.8398692810457516
0,MAR1,self_training,1.0,SVC,50.0,0.7714285714285715,0.7745098039215685,0.75,0.8986928104575163
0,MAR1,self_training,1.0,LogisticRegression,50.0,0.8,0.8022875816993464,0.7878787878787878,0.8823529411764706
0,MAR1,self_training,1.0,RandomForestClassifier,50.0,0.8857142857142857,0.8856209150326797,0.8888888888888888,0.8790849673202614
0,MAR1,self_training,1.0,XGBClassifier,50.0,0.8571428571428571,0.857843137254902,0.8571428571428571,0.9281045751633986
0,MAR1,label_propagation,,,50.0,0.7142857142857143,0.7222222222222222,0.6153846153846154,0.7843137254901961
0,MAR2,naive,,,49.04,0.8,0.803921568627451,0.7741935483870968,0.9248366013071895
0,MAR2,self_training,1.0,SVC,49.04,0.7428571428571429,0.7450980392156863,0.7272727272727273,0.7875816993464052
0,MAR2,self_training,1.0,LogisticRegression,49.04,0.7714285714285715,0.7761437908496732,0.7333333333333333,0.8823529411764706
0,MAR2,self_training,1.0,RandomForestClassifier,49.04,0.8571428571428571,0.8562091503267973,0.8648648648648649,0.9183006535947713
