Seed,Scheme,Approach,w1,b1,w2,b2,wx,wy,by,k_best,base_estimator,Missing_Percent,Accuracy,Balanced_Acc,F1,ROC_AUC,Imputation_score
0,None,Oracle,,,,,,,,,,0.0,0.5476190476190477,0.5340909090909092,0.6545454545454545,0.6681818181818182,[]
0,MCAR_0.2,naive,,,,,,,,,,22.58,0.5,0.5045454545454545,0.46153846153846156,0.48409090909090907,[]
0,MCAR_0.2,self_training,,,,,,,,1.0,SVC,22.58,0.6428571428571429,0.6409090909090909,0.6666666666666666,0.6863636363636364,"[1.0, 1.0, 1.0, 1.0, 0.8, 0.7571428571428571, 0.7916666666666667, 0.75, 0.725, 0.7525252525252526, 0.7350427350427351, 0.7571428571428571, 0.7321428571428572, 0.75]"
0,MCAR_0.2,self_training,,,,,,,,1.0,LogisticRegression,22.58,0.6666666666666666,0.6704545454545454,0.65,0.6704545454545454,"[1.0, 1.0, 0.875, 0.75, 0.7083333333333333, 0.7571428571428571, 0.7142857142857143, 0.75, 0.725, 0.7, 0.7272727272727273, 0.7097902097902098, 0.6547619047619048, 0.6458333333333333]"
0,MCAR_0.2,self_training,,,,,,,,1.0,RandomForestClassifier,22.58,0.6190476190476191,0.625,0.5789473684210527,0.6545454545454545,"[1.0, 1.0, 0.875, 0.75, 0.8, 0.8333333333333334, 0.8571428571428571, 0.75, 0.7777777777777778, 0.8, 0.8181818181818182, 0.7937062937062938, 0.7757575757575758, 0.7604166666666667]"
0,MCAR_0.2,self_training,,,,,,,,1.0,XGBClassifier,22.58,0.6904761904761905,0.6909090909090909,0.6976744186046512,0.6681818181818182,"[1.0, 1.0, 0.875, 0.8333333333333333, 0.7083333333333333, 0.7571428571428571, 0.7916666666666667, 0.8174603174603174, 0.8375, 0.7525252525252526, 0.7272727272727273, 0.7097902097902098, 0.696969696969697, 0.71875]"
0,MCAR_0.2,label_propagation,,,,,,,,,,22.58,0.6190476190476191,0.615909090909091,0.6521739130434783,0.6522727272727273,"[0.5625, 0.6145833333333334, 0.6145833333333334, 0.6145833333333334, 0.6145833333333334, 0.6145833333333334, 0.6145833333333334, 0.6145833333333334, 0.6145833333333334, 0.6145833333333334]"
0,MCAR_0.5,naive,,,,,,,,,,58.06,0.6666666666666666,0.6681818181818182,0.6666666666666666,0.675,[]
0,MCAR_0.5,self_training,,,,,,,,1.0,SVC,58.06,0.6666666666666666,0.6704545454545454,0.65,0.7318181818181818,"[1.0, 0.8333333333333333, 0.6666666666666666, 0.6333333333333333, 0.5, 0.5857142857142856, 0.5777777777777777, 0.5727272727272728, 0.625, 0.554945054945055, 0.5982142857142857, 0.5857142857142856, 0.5773809523809523, 0.6076923076923078, 0.6339285714285714, 0.6568627450980392, 0.6470588235294118, 0.6111111111111112, 0.6055555555555556, 0.62531328320802, 0.6190476190476191, 0.6138716356107661, 0.6095238095238096, 0.6258741258741258, 0.6409017713365539, 0.6547619047619048, 0.6675862068965517, 0.6609195402298851, 0.6726190476190477, 0.6674107142857143, 0.64576802507837, 0.6568627450980392, 0.6672811059907834, 0.6475694444444444, 0.6576576576576576, 0.641025641025641]"
0,MCAR_0.5,self_training,,,,,,,,1.0,LogisticRegression,58.06,0.5952380952380952,0.5977272727272727,0.5853658536585366,0.6772727272727272,"[0.5, 0.8333333333333333, 0.6666666666666666, 0.6333333333333333, 0.7083333333333333, 0.6875, 0.6458333333333333, 0.625, 0.6666666666666666, 0.6515151515151515, 0.641025641025641, 0.5857142857142856, 0.6181818181818182, 0.6458333333333333, 0.6339285714285714, 0.6568627450980392, 0.6770833333333333, 0.6393188854489165, 0.6583333333333333, 0.6754385964912281, 0.6666666666666666, 0.6818181818181818, 0.6742424242424242, 0.6666666666666666, 0.6602564102564102, 0.6733333333333333, 0.6854395604395604, 0.6966794380587484, 0.7071428571428571, 0.7008928571428572, 0.69375, 0.6882352941176471, 0.6833333333333333, 0.6630340017436791, 0.6576576576576576, 0.6666666666666666]"
0,MCAR_0.5,self_training,,,,,,,,1.0,RandomForestClassifier,58.06,0.6428571428571429,0.6454545454545455,0.6341463414634146,0.7181818181818183,"[1.0, 0.8333333333333333, 0.875, 0.8333333333333333, 0.7083333333333333, 0.7571428571428571, 0.7142857142857143, 0.625, 0.5555555555555556, 0.6, 0.6363636363636364, 0.6258741258741258, 0.6153846153846154, 0.6428571428571429, 0.6339285714285714, 0.6568627450980392, 0.6491228070175439, 0.6428571428571428, 0.6376811594202898, 0.6278772378516624, 0.6458333333333333, 0.6375, 0.6095238095238096, 0.6058201058201058, 0.6006441223832528, 0.6160714285714286, 0.6125, 0.609375, 0.623030303030303, 0.6178451178451179, 0.6148148148148148, 0.626984126984127, 0.6222222222222222, 0.6333914559721011, 0.630272952853598, 0.641025641025641]"
0,MCAR_0.5,self_training,,,,,,,,1.0,XGBClassifier,58.06,0.7142857142857143,0.7204545454545455,0.6842105263157895,0.7022727272727272,"[0.5, 0.8333333333333333, 0.8, 0.6333333333333333, 0.5, 0.5, 0.5714285714285714, 0.5634920634920635, 0.5555555555555556, 0.5, 0.5, 0.5, 0.5, 0.5358974358974359, 0.5333333333333333, 0.5313725490196078, 0.5, 0.5278637770897833, 0.5527777777777778, 0.55, 0.5714285714285714, 0.5683229813664596, 0.5657142857142857, 0.583916083916084, 0.5811688311688312, 0.5974512743628186, 0.575, 0.5541935483870968, 0.5348557692307692, 0.5334821428571428, 0.54858934169279, 0.5627450980392157, 0.5760368663594471, 0.5885416666666667, 0.6003276003276004, 0.5850815850815851]"
