Seed,Scheme,Approach,sigma,w1,b1,w2,b2,wx,wy,by,Missing_Percent,Accuracy,Balanced_Acc,F1,ROC_AUC,Imputation_score
0,MCAR_0.2,label_propagation,0.1,,,,,,,,23.08,0.8,0.803921568627451,0.7741935483870968,0.8888888888888888,[]
0,MCAR_0.2,label_propagation,0.3,,,,,,,,23.08,0.8,0.803921568627451,0.7741935483870968,0.8888888888888888,[]
0,MCAR_0.2,label_propagation,0.5,,,,,,,,23.08,0.7428571428571429,0.7467320261437909,0.7096774193548387,0.8267973856209151,[0.5333333333333333]
0,MCAR_0.2,label_propagation,1.0,,,,,,,,23.08,0.7714285714285715,0.7745098039215685,0.75,0.8169934640522876,"[0.7666666666666666, 0.8]"
0,MCAR_0.2,label_propagation,1.5,,,,,,,,23.08,0.7714285714285715,0.7745098039215685,0.75,0.8169934640522876,"[0.7666666666666666, 0.8]"
0,MCAR_0.2,label_propagation,2.0,,,,,,,,23.08,0.7714285714285715,0.7745098039215685,0.75,0.8169934640522876,"[0.7666666666666666, 0.8]"
0,MCAR_0.2,label_propagation,5.0,,,,,,,,23.08,0.7714285714285715,0.7745098039215685,0.75,0.8169934640522876,"[0.7666666666666666, 0.8]"
0,MCAR_0.2,label_propagation,10.0,,,,,,,,23.08,0.7714285714285715,0.7745098039215685,0.75,0.8006535947712418,"[0.7666666666666666, 0.8, 0.8333333333333333, 0.8333333333333333, 0.8333333333333333]"
0,MCAR_0.2,label_propagation,15.0,,,,,,,,23.08,0.7714285714285715,0.7745098039215685,0.75,0.8006535947712418,"[0.7666666666666666, 0.8333333333333333, 0.8333333333333333, 0.8333333333333333, 0.8333333333333333, 0.8333333333333333]"
0,MCAR_0.2,label_propagation,20.0,,,,,,,,23.08,0.7714285714285715,0.7745098039215685,0.75,0.8006535947712418,"[0.7666666666666666, 0.8333333333333333, 0.8333333333333333, 0.8333333333333333, 0.8333333333333333, 0.8333333333333333]"
0,MCAR_0.2,label_propagation,30.0,,,,,,,,23.08,0.7714285714285715,0.7745098039215685,0.75,0.8006535947712418,"[0.7666666666666666, 0.8333333333333333, 0.8333333333333333, 0.8333333333333333, 0.8333333333333333, 0.8333333333333333]"
0,MCAR_0.2,label_propagation,40.0,,,,,,,,23.08,0.7714285714285715,0.7745098039215685,0.75,0.8006535947712418,"[0.7666666666666666, 0.8333333333333333, 0.8333333333333333, 0.8333333333333333, 0.8333333333333333, 0.8333333333333333]"
0,MCAR_0.5,label_propagation,0.1,,,,,,,,50.0,0.5714285714285714,0.5833333333333334,0.2857142857142857,0.6699346405228759,[]
0,MCAR_0.5,label_propagation,0.3,,,,,,,,50.0,0.5714285714285714,0.5833333333333334,0.2857142857142857,0.6699346405228759,[]
0,MCAR_0.5,label_propagation,0.5,,,,,,,,50.0,0.5714285714285714,0.5833333333333334,0.2857142857142857,0.6699346405228759,[]
0,MCAR_0.5,label_propagation,1.0,,,,,,,,50.0,0.6857142857142857,0.6944444444444444,0.56,0.6830065359477124,"[0.5740740740740741, 0.6111111111111112, 0.6111111111111112, 0.6111111111111112, 0.6111111111111112, 0.6111111111111112, 0.6111111111111112, 0.6111111111111112, 0.6111111111111112, 0.6111111111111112, 0.6111111111111112, 0.6111111111111112, 0.6111111111111112, 0.6111111111111112, 0.6296296296296297, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]"
0,MCAR_0.5,label_propagation,1.5,,,,,,,,50.0,0.6857142857142857,0.6944444444444444,0.56,0.6830065359477124,"[0.5740740740740741, 0.6111111111111112, 0.6111111111111112, 0.6111111111111112, 0.6296296296296297, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]"
0,MCAR_0.5,label_propagation,2.0,,,,,,,,50.0,0.6857142857142857,0.6944444444444444,0.56,0.6830065359477124,"[0.5740740740740741, 0.6111111111111112, 0.6296296296296297, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]"
0,MCAR_0.5,label_propagation,5.0,,,,,,,,50.0,0.6857142857142857,0.6944444444444444,0.56,0.6830065359477124,"[0.5925925925925926, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]"
0,MCAR_0.5,label_propagation,10.0,,,,,,,,50.0,0.6571428571428571,0.6650326797385621,0.5384615384615384,0.7712418300653594,"[0.6111111111111112, 0.6666666666666666, 0.7022222222222222, 0.7022222222222222, 0.7022222222222222, 0.7022222222222222, 0.7022222222222222, 0.7022222222222222, 0.7022222222222222, 0.7022222222222222, 0.7022222222222222, 0.7022222222222222]"
0,MCAR_0.5,label_propagation,15.0,,,,,,,,50.0,0.6857142857142857,0.6928104575163399,0.5925925925925926,0.7843137254901961,"[0.6111111111111112, 0.6851851851851851, 0.6822222222222223, 0.6822222222222223, 0.6822222222222223, 0.6822222222222223, 0.7007407407407408, 0.7007407407407408, 0.7007407407407408, 0.7007407407407408, 0.7007407407407408, 0.7007407407407408, 0.7007407407407408]"
0,MCAR_0.5,label_propagation,20.0,,,,,,,,50.0,0.6857142857142857,0.6928104575163399,0.5925925925925926,0.7843137254901961,"[0.5911111111111111, 0.6651851851851851, 0.6822222222222223, 0.7007407407407408, 0.7007407407407408, 0.7007407407407408, 0.7007407407407408, 0.7007407407407408, 0.7007407407407408, 0.7007407407407408, 0.7007407407407408, 0.7007407407407408, 0.7007407407407408]"
0,MCAR_0.5,label_propagation,30.0,,,,,,,,50.0,0.6857142857142857,0.6928104575163399,0.5925925925925926,0.7843137254901961,"[0.5911111111111111, 0.6651851851851851, 0.7007407407407408, 0.7007407407407408, 0.7007407407407408, 0.7007407407407408, 0.7007407407407408, 0.7007407407407408, 0.7007407407407408, 0.7007407407407408, 0.7007407407407408, 0.7007407407407408, 0.7007407407407408, 0.7007407407407408]"
0,MCAR_0.5,label_propagation,40.0,,,,,,,,50.0,0.6857142857142857,0.6928104575163399,0.5925925925925926,0.7843137254901961,"[0.5911111111111111, 0.6651851851851851, 0.7007407407407408, 0.7007407407407408, 0.7007407407407408, 0.7007407407407408, 0.7007407407407408, 0.7007407407407408, 0.7007407407407408, 0.7007407407407408, 0.7007407407407408, 0.7007407407407408, 0.7007407407407408, 0.7007407407407408]"
0,MCAR_0.8,label_propagation,0.1,,,,,,,,81.73,0.45714285714285713,0.47058823529411764,0.0,0.6405228758169935,[]
0,MCAR_0.8,label_propagation,0.3,,,,,,,,81.73,0.45714285714285713,0.47058823529411764,0.0,0.6405228758169935,[]
0,MCAR_0.8,label_propagation,0.5,,,,,,,,81.73,0.5428571428571428,0.5555555555555556,0.2,0.7287581699346405,[0.5111111111111111]
0,MCAR_0.8,label_propagation,1.0,,,,,,,,81.73,0.6285714285714286,0.6388888888888888,0.43478260869565216,0.7941176470588236,"[0.5430555555555555, 0.5875, 0.5986111111111111]"
0,MCAR_0.8,label_propagation,1.5,,,,,,,,81.73,0.6285714285714286,0.6388888888888888,0.43478260869565216,0.7941176470588236,"[0.5430555555555555, 0.5875, 0.5986111111111111]"
0,MCAR_0.8,label_propagation,2.0,,,,,,,,81.73,0.6285714285714286,0.6388888888888888,0.43478260869565216,0.7941176470588236,"[0.5430555555555555, 0.5875, 0.5986111111111111, 0.5986111111111111, 0.5986111111111111]"
